√‹‘ø∏Ò Ω£∫[k1,k0]
No.1	[3,0]
No.2	[7,0]
No.3	[9,0]
No.4	[11,0]
No.5	[13,0]
No.6	[17,0]
No.7	[19,0]
No.8	[21,0]
No.9	[23,0]
No.10	[27,0]
No.11	[29,0]
No.12	[31,0]
No.13	[33,0]
No.14	[37,0]
No.15	[39,0]
No.16	[41,0]
No.17	[43,0]
No.18	[47,0]
No.19	[49,0]
No.20	[51,0]
No.21	[53,0]
No.22	[57,0]
No.23	[59,0]
No.24	[61,0]
No.25	[63,0]
No.26	[67,0]
No.27	[69,0]
No.28	[71,0]
No.29	[73,0]
No.30	[77,0]
No.31	[79,0]
No.32	[81,0]
No.33	[83,0]
No.34	[87,0]
No.35	[89,0]
No.36	[91,0]
No.37	[93,0]
No.38	[97,0]
No.39	[99,0]
No.40	[1,1]
No.41	[3,1]
No.42	[7,1]
No.43	[9,1]
No.44	[11,1]
No.45	[13,1]
No.46	[17,1]
No.47	[19,1]
No.48	[21,1]
No.49	[23,1]
No.50	[27,1]
No.51	[29,1]
No.52	[31,1]
No.53	[33,1]
No.54	[37,1]
No.55	[39,1]
No.56	[41,1]
No.57	[43,1]
No.58	[47,1]
No.59	[49,1]
No.60	[51,1]
No.61	[53,1]
No.62	[57,1]
No.63	[59,1]
No.64	[61,1]
No.65	[63,1]
No.66	[67,1]
No.67	[69,1]
No.68	[71,1]
No.69	[73,1]
No.70	[77,1]
No.71	[79,1]
No.72	[81,1]
No.73	[83,1]
No.74	[87,1]
No.75	[89,1]
No.76	[91,1]
No.77	[93,1]
No.78	[97,1]
No.79	[99,1]
No.80	[1,2]
No.81	[3,2]
No.82	[7,2]
No.83	[9,2]
No.84	[11,2]
No.85	[13,2]
No.86	[17,2]
No.87	[19,2]
No.88	[21,2]
No.89	[23,2]
No.90	[27,2]
No.91	[29,2]
No.92	[31,2]
No.93	[33,2]
No.94	[37,2]
No.95	[39,2]
No.96	[41,2]
No.97	[43,2]
